Sample ID,δ13CVPDB (‰),Total C (µg),C Comment,Tray Name,Well Id,Type of Material,Analysis,Sample Weight (mg) from Sample List,Internal ID,Analysis Number,Mass Spec
BO-012-G1-010-14R-3,-27.82,749.09,,Nemo-2023-BO-2,G9,plant stem tissue,13C,2.31,2031331,700556,H
BO-125-G2-010-15R-5,-28.42,443.53,,Nemo-2023-BO-2,G10,plant stem tissue,13C,1.45,2031332,700557,H
BO-146-G1-010-16L-5,-28.74,1562.64,,Nemo-2023-BO-2,G11,plant stem tissue,13C,5.08,2031333,700558,H
BO-186-G1-010-18R-4,-29.00,923.43,,Nemo-2023-BO-2,G12,plant stem tissue,13C,3.16,2031334,700559,H
BO-108-G1-010-19R-3,-27.89,895.03,,Nemo-2023-BO-2,H1,plant stem tissue,13C,2.72,2031335,700566,H
BO-001-G2-010-22L-3,-29.76,1300.32,,Nemo-2023-BO-2,H2,plant stem tissue,13C,3.61,2031336,700567,H
BO-037-G1-010-23L-5,-29.25,936.03,,Nemo-2023-BO-2,H3,plant stem tissue,13C,2.75,2031337,700568,H
BO-098-G1-010-23R-2,-30.95,885.55,,Nemo-2023-BO-2,H4,plant stem tissue,13C,2.78,2031338,700569,H
BO-025-G2-010-24R-4,-28.46,901.34,,Nemo-2023-BO-2,H5,plant stem tissue,13C,3.16,2031339,700570,H
BO-171-G1-010-26R-1,-29.04,1757.84,,Nemo-2023-BO-2,H6,plant stem tissue,13C,5.25,2031340,700571,H
BO-176-G1-010-28L-1,-29.73,1502.05,,Nemo-2023-BO-2,H7,plant stem tissue,13C,4.44,2031341,700572,H
BO-088-G2-010-30L-1,-28.27,1139.47,,Nemo-2023-BO-2,H8,plant stem tissue,13C,3.39,2031342,700573,H
