Transect,Gen,Donor,Recipient,Segment,Plant_ID,Leaf area (mm^2),Bright-max,Area notes,Dry weight (mg),Weight notes,Perimeter
6,G1,AC_165,AC_062,23R,1,27.692,162,,1.86,,
6,G1,AC_045,AC_151,24L,,,,,,,
6,G1,AC_091,AC_189,24R,5,54.109,154,,4.7,,
6,G2,AC_156,AC_090,25L,,,,,,,
6,G1,AC_207,AC_055,25R,1,52.551,155,,3.32,,
6,G1,AC_159,AC_143,26L,,,,,,,
6,G2,AC_172,AC_208,26R,,,,,,,
6,G2,AC_169,AC_182,27L,5,15.14,165,,1.03,,
6,G1,AC_107,AC_130,27R,4,37.547,163,,1.94,,
6,G2,AC_156,AC_016,28L,1,15.006,159,,0.76,,
6,G2,AC_052,AC_131,28R,4,32.725,148,,2.62,,
6,G2,AC_064,AC_086,29L,1,14.76,166,,0.9,,
6,G2,AC_160,AC_186,29R,,,,,,,
6,G2,AC_061,AC_052,30L,4,51.159,178,,2.57,,
6,G2,AC_061,AC_158,30R,,,,,,,
6,G2,AC_216,AC_034,31L,,,,,,,
6,G1,AC_179,AC_171,31R,2,17.826,165,,1.21,,
6,G1,AC_102,AC_178,32L,,,,,,,
6,G1,AC_096,AC_181,32R,,,,,,,
6,G1,AC_169,AC_182,33R,,,,,,,
6,G1,AC_096,AC_128,34L,,,,,,,
6,G2,AC_007,AC_147,34R,,,,,,,
6,G2,AC_170,AC_203,35L,,,,,,,
6,G1,AC_170,AC_118,35R,1,29.923,162,,2.14,,
7,G1,AC_168,AC_142,1L,,,,,,,
7,G1,AC_102,AC_191,1R,,,,,,,
7,G2,AC_198,AC_072,2L,4,25.59,158,,1.67,,
7,G1,AC_150,AC_110,2R,,,,,,,
7,G2,AC_102,AC_191,3L,5,7.54,175,,0.33,,
7,G2,AC_207,AC_070,3R,1,11.041,154,,0.63,,
7,G2,AC_007,AC_187,4L,,,,,,,
7,G1,AC_103,AC_201,4R,4,26.947,147,,1.87,,
7,G1,AC_207,AC_070,5L,,,,,,,
7,G1,AC_150,AC_083,5R,,,,,,,
7,G2,AC_107,AC_172,6L,,,,,,,
7,G1,AC_125,AC_095,6R,2,29.185,156,,2.1,,
7,G1,AC_068,AC_056,7L,5,52.008,168,,3.72,,
7,G1,AC_207,AC_055,7R,,,,,,,
7,G2,AC_177,AC_211,8L,4,19.565,157,,1.42,,
7,G2,AC_165,AC_199,8R,5,72.592,166,,5.2,,
7,G1,AC_061,AC_052,9L,,,,,,,
7,G2,AC_091,AC_204,9R,1,57.483,139,,4.86,,
7,G1,AC_096,AC_074,10L,3,42.547,172,,2.54,,
7,G1,AC_195,AC_179,10R,4,64.726,164,,3.65,,
7,G1,AC_179,AC_114,11L,,,,,,,
7,G2,AC_150,AC_200,11R,3,15.838,175,,0.72,,
7,G1,AC_064,AC_017,12L,1,42.593,170,,2.43,,
7,G2,AC_068,AC_056,12R,,,,,,,
7,G2,AC_094,AC_216,13L,,,,,,,
