ID	Block	Pop	CrossPop	SurvWin1	ReprS1	TotFr1	Seed1	Samp1	FruitSeed1	FruitSeedcr1	FruitSeedR1	SurvWin2	ReprS2	TotFr2	Seed2	Samp2	FruitSeed2	FruitSeedcr2	FruitSeedR2	SurvWin3	ReprS3	TotFr3	Seed3	Samp3	FruitSeed3	FruitSeedcr3	FruitSeedR3
813	S7	D	DB	1	1	22	24	3	176	5.604078661	176	1	1	2	12	2	12	2.289428485	12	1	0	0	0	0	0	0	0
814	S7	A	A	1	1	3	20	3	20	2.714417617	20	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
815	S7	B	B	1	1	19	13	3	82.33333333	4.350360358	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
816	S7	A	A	1	1	9	42	3	126	5.013297935	126	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
817	S7	D	DB	1	1	43	23	3	329.6666667	6.908095705	330	1	0	0	0	3	0	0	0	1	1	18	6	3	36	3.301927249	36
818	S7	C 	CB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
819	S7	D	DA 	1	1	42	24	3	336	6.95205329	336	1	1	8	3	1	24	2.884499141	24	1	1	13	13	2	84.5	4.388191478	85
821	S7	B	B	1	1	5	28	3	46.66666667	3.600274328	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
822	S7	D	DB	1	1	6	18	3	36	3.301927249	36	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
823	S7	C 	CB	1	1	24	20	3	160	5.428835233	160	1	0	0	0	0	0	0	0	1	1	11	5	3	18.33333333	2.636819964	18
825	S7	C 	CA	1	1	19	29	3	183.6666667	5.684297262	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
826	S7	D	DA 	1	1	5	10	3	16.66666667	2.554364775	17	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
827	S7	D	DA 	1	1	7	26	3	60.66666667	3.929313778	61	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
828	S7	D	DB	1	1	30	17	3	170	5.539658257	170	1	1	5	16	3	26.66666667	2.987603164	27	1	0	0	0	0	0	0	0
